country,fulfill via,shipment mode,scheduled delivery date,delivered to client date,vendor,dosage form,manufacturing site,line item value,weight (kilograms),delivered late
Vietnam,Direct Drop,Air,2007-03-14,2007-03-14,STRIDES ARCOLAB LIMITED,Capsule,"Strides, Bangalore, India.",144205.0,9170,False
Guyana,Direct Drop,Air,2006-12-29,2006-12-29,"Trinity Biotech, Plc",Test kit,"Trinity Biotech, Plc",36000.0,316,False
Mozambique,Direct Drop,Air,2007-02-15,2007-02-15,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Tablet,ABBSP,3288.0,25,False
Vietnam,Direct Drop,Air,2007-05-12,2007-05-12,CIPLA LIMITED,Tablet - FDC,"Cipla, Goa, India",525000.0,6813,False
Rwanda,Direct Drop,Air,2007-02-27,2007-02-27,CIPLA LIMITED,Tablet,"Cipla, Goa, India",1087970.4,See ASN-242 (ID#:64),False
Rwanda,Direct Drop,Air,2007-02-27,2007-02-27,CIPLA LIMITED,Tablet,"Cipla, Patalganga, India",202340.5,See ASN-242 (ID#:64),False
Ethiopia,Direct Drop,Air,2006-12-28,2006-12-28,Abbott GmbH & Co. KG,Test kit,ABBVIE GmbH & Co.KG Wiesbaden,16000.0,Weight Captured Separately,False
Vietnam,Direct Drop,Air,2007-08-24,2007-08-24,CIPLA LIMITED,Tablet - FDC,"Cipla, Goa, India",187500.0,2348,False
Nigeria,Direct Drop,Air,2007-03-15,2007-03-30,BIO-RAD LABORATORIES (FRANCE),Test kit,Bio-Rad Laboratories,28500.0,402,True
Ethiopia,Direct Drop,Air,2007-01-15,2007-01-15,Abbott GmbH & Co. KG,Test kit,ABBVIE GmbH & Co.KG Wiesbaden,372000.0,1707,False
Côte d'Ivoire,Direct Drop,Air,2007-10-23,2007-10-23,BRISTOL-MYERS SQUIBB,Chewable/dispersible tablet,"BMS Meymac, France",14981.5,306,False
Nigeria,Direct Drop,Air,2007-09-07,2007-09-07,Abbott GmbH & Co. KG,Test kit,ABBVIE GmbH & Co.KG Wiesbaden,280000.0,1194,False
Côte d'Ivoire,Direct Drop,Air,2007-10-02,2007-10-02,BRISTOL-MYERS SQUIBB,Chewable/dispersible tablet,"BMS Meymac, France",40565.0,Weight Captured Separately,False
Vietnam,Direct Drop,Air,2007-10-02,2007-10-02,Aurobindo Pharma Limited,Oral suspension,"Aurobindo Unit III, India",1920.0,960,False
Vietnam,Direct Drop,Air,2007-10-02,2007-10-02,Aurobindo Pharma Limited,Oral solution,"Aurobindo Unit III, India",2100.0,See ASN-744 (ID#:1356),False
Vietnam,Direct Drop,Air,2007-10-15,2007-10-15,Aurobindo Pharma Limited,Oral solution,"Aurobindo Unit III, India",2100.0,See ASN-781 (ID#:115),False
Vietnam,Direct Drop,Air,2007-10-15,2007-10-15,Aurobindo Pharma Limited,Tablet - FDC,"Aurobindo Unit III, India",40500.0,332,False
Vietnam,Direct Drop,Air,2007-11-23,2007-11-23,Aurobindo Pharma Limited,Tablet,"Aurobindo Unit III, India",277425.0,1955,False
Vietnam,Direct Drop,Air,2007-08-27,2007-08-27,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Tablet,ABBVIE Ludwigshafen Germany,41095.0,117,False
Tanzania,Direct Drop,Air,2007-09-19,2007-09-19,"Standard Diagnostics, Inc.",Test kit,"Standard Diagnostics, Korea",200000.0,3336,False
Rwanda,Direct Drop,Air,2008-01-28,2008-01-28,ASPEN PHARMACARE,Tablet,"Aspen-OSD, Port Elizabeth, SA",27353.0,157,False
South Africa,Direct Drop,,2008-01-29,2008-01-29,"JSI R&T INSTITUTE, INC.",Oral solution,ABBVIE (Abbott) Logis. UK,1447.8,Weight Captured Separately,False
South Africa,Direct Drop,,2008-01-29,2008-01-29,"JSI R&T INSTITUTE, INC.",Delayed-release capsules - blister,"BMS Meymac, France",2850.0,Weight Captured Separately,False
Vietnam,Direct Drop,Air,2008-03-28,2008-03-28,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Capsule,ABBVIE (Abbott) Logis. UK,18333.0,337,False
Nigeria,Direct Drop,Air,2008-01-21,2008-01-21,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.",Test kit,Chembio Diagnostics Sys. Inc.,270000.0,3336,False
Rwanda,Direct Drop,Air,2008-01-28,2008-01-28,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),Tablet,Mylan (formerly Matrix) Nashik,30222.5,113,False
Vietnam,Direct Drop,Air,2008-02-01,2008-02-01,Aurobindo Pharma Limited,Capsule,"Aurobindo Unit III, India",2100.0,125,False
Kazakhstan,Direct Drop,Air,2007-12-27,2007-12-27,Orasure Technologies Inc.,Test kit,"Pacific Biotech, Thailand",17500.0,Weight Captured Separately,False
Nigeria,Direct Drop,Air,2008-02-05,2008-02-05,"Orgenics, Ltd",Test kit,Inverness Japan,51993.5,148,False
South Africa,Direct Drop,,2008-01-21,2008-01-04,"JSI R&T INSTITUTE, INC.",Capsule,"BMS Meymac, France",573.0,Weight Captured Separately,False
